interpret_hlavni,id,stazeno,nazev_wiki,popis_en,popis_cs,velikost,zanry,datum_narozeni,datum_umrti,zacatek_pusobeni,konec_pusobeni,zalozeni,zanik,gender,misto_puvodu,zeme_puvodu,obcanstvi,etnicita,hlas,nastroje,oceneni,nabozenstvi,orientace,spotify_id,spotify_odberatele
Shakira,Q34424,True,Shakira,"Colombian singer, songwriter and actress",kolumbijská zpěvačka,člověk,"['pop music', 'Latin pop', 'pop rock', 'Latin rock', 'taneční hudba', 'folk', 'world music', 'contemporary R&B', 'rock']",+1977-02-02T00:00:00Z,,+1990-00-00T00:00:00Z,,,,žena,Barranquilla,Kolumbie,"['Španělsko', 'Kolumbie']",,,"['kytara', 'harmonika', 'bicí nástroje', 'hlas']","['Billboard Latin Music Awards', 'Latin Grammy Award for Best Female Pop Vocal Album', 'Cena Grammy za nejlepší latinské popové album', 'MTV Video Music Awards', 'Los Premios MTV Latinoamérica', 'Cena Grammy za nejlepší hudební video', 'Grammy Award for Best Latin Rock or Alternative Album', 'Cena Latin Grammy za album roku', 'Cena Latin Grammy za píseň roku', 'Latin Grammy Award for Best Female Pop Vocal Album', 'Latin Recording Academy Person of the Year', 'Free Your Mind', 'Amadeus Austrian Music Awards', 'rytíř Řádu umění a literatury', 'Cena Latin Grammy za nahrávku roku', 'Cena Latin Grammy za nahrávku roku', 'Cena Latin Grammy za píseň roku', 'Latin Grammy Award for Best Female Pop Vocal Album', 'Cena Grammy za nejlepší latinské popové album', 'Latin Grammy Award for Best Contemporary Pop Vocal Album', 'Crystal Award', 'Hvězda na Hollywoodském chodníku slávy', 'rytíř Řádu umění a literatury', 'Billboard Spirit of Hope Award', 'Premios Oye!']",,,0EmeFodog0BfCgMzAIvKQp,
Justin Bieber,Q34086,True,Justin Bieber,Canadian singer (born 1994),kanadský zpěvák,člověk,"['pop music', 'contemporary R&B', 'hip hop']",+1994-03-01T00:00:00Z,,+2007-00-00T00:00:00Z,,,,muž,London,Kanada,['Kanada'],,['tenor'],"['hlas', 'buben', 'kytara', 'klavír']","['Cena Grammy za nejlepší taneční nahrávku', 'Latin Grammy Award for Best Urban Fusion/Performance', 'Juno Fan Choice', 'Juno Fan Choice', 'Medaile diamantového výročí královny Alžběty II.', 'MTV Video Music Awards/Artist of the Year', 'MTV Video Music Award for Best Pop Video', 'Umělec roku', 'American Music Award for New Artist of the Year', 'Diamond Play Button', 'Billboard 21 Under 21', 'Billboard 21 Under 21']",['evangelikalismus'],,1uNFoZAHBGtllmzznpCI3s,
Selena Gomez,Q83287,True,Selena Gomez,American singer and actress (born 1992),americká zpěvačka a herečka,člověk,"['pop music', 'dance-pop', 'elektropop', 'pop rock', 'rock', 'heavy metal']",+1992-07-22T00:00:00Z,,+2001-00-00T00:00:00Z,,,,žena,Grand Prairie,Spojené státy americké,['Spojené státy americké'],,,"['doprovodná kytara', 'hlas', 'bicí nástroje', 'bicí souprava', 'buben']","['Teen Choice Awards 2009', 'Teen Choice Awards 2010', 'Teen Choice Awards 2011', 'Teen Choice Awards 2012', 'Teen Choice Awards 2013', 'Teen Choice Awards 2014', 'American Music Award for Favorite Pop/Rock Female Artist', 'MuchMusic Video Award for Peoples Choice: Favourite International Video', 'Los Premios 40 Principales for Best International Video', 'MTV Video Music Award for Best Pop Video', 'Leading Ladies of Entertainment']",['katolicismus'],,0C8ZW7ezQVs4URX5aX7Kqx,
Flo Rida,Q213538,True,Flo Rida,American rapper from Florida,americký rapper,člověk,"['pop rap', 'contemporary R&B', 'techno', 'house music', 'pop music', 'hip house', 'elektronická taneční hudba', 'trap', 'Southern hip hop', 'dirty south', 'Crunk', 'elektropop', 'electro hop', 'hip hop', 'electro', 'electronica', 'elektronická hudba', 'electro house', 'EDM trap music', 'dance-pop', 'taneční hudba']",+1979-09-16T00:00:00Z,,+2000-00-00T00:00:00Z,,,,muž,Opa-locka,Spojené státy americké,['Spojené státy americké'],,,['hlas'],,,,0jnsk9HBra6NMjO2oANoPY,
Daniel Landa,Q159250,True,Daniel Landa,"Czech car racer, actor, composer, rally driver and singer","český zpěvák a skladatel, herec a automobilový závodník",člověk,['rock'],+1968-11-04T00:00:00Z,,+1987-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,,['hlas'],['Zlatý David'],,,,
Beyoncé,Q36153,True,Beyoncé,American singer (born 1981),americká zpěvačka,člověk,"['soul', 'pop music', 'rhythm and blues', 'contemporary R&B', 'rock', 'Chillwave', 'gospel', 'funk', 'elektronická hudba', 'garage rock', 'disco', 'country', 'Afrobeat', 'dancehall', 'lidová hudba', 'hudebně dramatická tvorba', 'jazz', 'reggae', 'reggaeton', 'bounce music', 'rap', 'bluegrass', 'hip hop']",+1981-09-04T00:00:00Z,,+1997-00-00T00:00:00Z,,,,žena,Houston,Spojené státy americké,['Spojené státy americké'],,['mezzosoprán'],,"['Grammy cena pro nejlepší R&B píseň', 'MTV Movie Award za nejlepší boj', 'Grammy Award for Best Rap/Sung Collaboration', 'Grammy Award for Best R&B Performance by a Duo or Group with Vocals', 'Grammy cena pro nejlepší R&B píseň', 'Grammy Award for Best R&B Performance by a Duo or Group with Vocals', 'Grammy Award for Best Contemporary R&B Album', 'Grammy Award for Best R&B Performance by a Duo or Group with Vocals', 'Grammy Award for Best Female R&B Vocal Performance', 'Grammy Award for Best R&B Performance by a Duo or Group with Vocals', 'Grammy Award for Best Contemporary R&B Album', 'Grammy Award for Best Contemporary R&B Album', 'Cena Grammy za nejlepší ženský popový vokální výkon', 'Cena Grammy za píseň roku', 'Grammy cena pro nejlepší R&B píseň', 'Grammy Award for Best Female R&B Vocal Performance', 'Grammy Award for Best Traditional R&B Performance', 'Grammy Award for Best Traditional R&B Performance', 'Grammy Award for Best Immersive Audio Album', 'Cena Grammy za nejlepší R&B výkon', 'Grammy cena pro nejlepší R&B píseň', 'Grammy Award for Best Urban Contemporary Album', 'Cena Grammy za nejlepší hudební video', 'Grammy Award for Best Urban Contemporary Album', 'American Music Awards', 'Favorite Soul/R&B Female Artist', 'Favorite Soul/R&B Female Artist', 'Favorite Soul/R&B Female Artist', 'Favorite Soul/R&B Female Artist', 'American Music Award for Favorite Soul/R&B Album', 'American Music Award for Tour of the Year', 'American Music Award for Tour of the Year', 'Favorite Soul/R&B Female Artist', 'Nejlepší ženský videoklip', 'Nejlepší R&B videoklip', 'Nejlepší ženský videoklip', 'Nejlepší R&B videoklip', 'MTV Video Music Award for Best Collaboration', 'Videoklip roku', 'MTV Video Music Award for Best Editing', 'MTV Video Music Award for Best Choreography', 'MTV Video Music Award for Best Choreography', 'MTV Video Music Award for Best Editing', 'MTV Video Music Award for Best Collaboration', 'MTV Video Music Award for Best Cinematography', 'MTV Video Music Award for Best Video with a Social Message', 'MTV Video Vanguard Award', 'MTV Video Music Award for Best Editing', 'Videoklip roku', 'MTV Video Music Award for Best Pop Video', 'MTV Video Music Award for Best Direction', 'MTV Video Music Award for Best Cinematography', 'MTV Video Music Award for Best Editing', 'MTV Video Music Award for Best Choreography', 'Nejlepší ženský videoklip', 'MTV Video Music Award for Best Long Form Video', 'MTV Video Music Award for Best Cinematography', 'Cena MTV za nejlepší uměleckou režii']",,,6vWDO969PvNqNYHIOW5v0m,
Red Hot Chili Peppers,Q10708,True,Red Hot Chili Peppers,American musical group; rock band,americká funk-rocková kapela,hudební skupina,"['alternativní rock', 'funk rock', 'jazz fusion', 'klasický rock', 'rock', 'punk rock', 'polka', 'psychedelický rock', 'jazz-funk', 'heavy metal', 'ska', 'funk metal', 'hard rock', 'reggae', 'rap rock', 'alternativní metal', 'metalcore', 'post-hardcore']",,,+1982-00-00T00:00:00Z,,+1982-00-00T00:00:00Z,,,Los Angeles,Spojené státy americké,,,,,"['MTV Video Music Award – Breakthrough Video', 'Grammy Award for Best Hard Rock Performance', ""MTV Video Music Award – Viewer's Choice"", 'Cena MTV za nejlepší uměleckou režii', 'MTV Video Music Award for Best Artist Website', 'MTV Video Vanguard Award', 'American Music Award for Favorite Alternative Rock Artist', 'MTV Europe Music Award za nejlepší Rock', 'MTV Video Music Award for Best Direction', 'Cena MTV za nejlepší uměleckou režii', 'MTV Europe Music Award za nejlepší Rock', 'MTV Europe Music Award za nejlepší LIVE', 'MTV Europe Music Award for Best Album', 'Cena Grammy za nejlepší rockové roku', 'American Music Award for Favorite Pop/Rock Band/Duo/Group', 'Cena MTV za nejlepší uměleckou režii', 'Grammy Award for Best Rock Performance by a Duo or Group with Vocal', 'American Music Award for Favorite Alternative Rock Artist', 'MOJO Awards']",,,0L8ExT028jH3ddEcZwqJJ5,
Marpo,Q4043742,True,Marpo,Czech rapper,český rapper a bubeník,člověk,,+1985-01-29T00:00:00Z,,,,,,muž,Praha,Česko,['Česko'],,,['hlas'],,,,,
James Blunt,Q130799,True,James Blunt,English singer-songwriter,britský zpěvák,člověk,"['blues', 'rock', 'soft rock']",+1974-02-22T00:00:00Z,,+2003-00-00T00:00:00Z,,,,muž,Tidworth,Spojené království,['Spojené království'],,['tenor'],"['kytara', 'klavír', 'hlas', 'akustická kytara']",,,,7KMqksf0UMdyA0UCf4R3ux,
Tereza Kerndlová,Q203446,True,Tereza Kerndlová,Czech singer,česká zpěvačka,člověk,['pop music'],+1986-10-06T00:00:00Z,,+2001-00-00T00:00:00Z,,,,žena,Brno,Česko,['Česko'],,,['hlas'],,,,,
Robbie Williams,Q47875,True,Robbie Williams,British singer-songwriter (born 1974),britský zpěvák a skladatel,člověk,"['pop music', 'taneční hudba', 'Britpop', 'alternativní rock', 'pop rock', 'soft rock', 'elektronická hudba']",+1974-02-13T00:00:00Z,,+1990-00-00T00:00:00Z,,,,muž,Stoke-on-Trent,Spojené království,['Spojené království'],,['tenor'],"['hlas', 'kytara', 'basová kytara', 'klávesový nástroj', 'bicí nástroje', 'housle', 'harmonika', 'marimba']","['Amadeus Austrian Music Awards', 'Premios Oye!']",,,2HcwFjNelS49kFbfvMxQYw,
Wohnout,Q6396977,True,Wohnout,Czech rock band,česká hudební skupina,hudební skupina,['punk rock'],,,+1988-00-00T00:00:00Z,,+1988-00-00T00:00:00Z,,,,,,,,,,,,0ZDbrXYXNaO94VjgXjdFh7,
Adele,Q23215,True,Adele,English singer-songwriter (born 1988),britská zpěvačka a skladatelka,člověk,"['pop music', 'bílý soul', 'rhythm and blues', 'soul', 'jazz', 'rock']",+1988-05-05T00:00:00Z,,+2006-00-00T00:00:00Z,,,,žena,Tottenham,Spojené království,['Spojené království'],,['mezzosoprán'],"['kytara', 'klavír', 'bicí souprava', 'basová kytara', 'trubka', 'viola', 'hlas']","['člen Řádu britského impéria', 'Cena Grammy pro nejlepšího nového umělce', 'Oscar za nejlepší filmovou píseň', 'Cena Grammy za nejlepší popový sólový výkon', 'Cena Grammy za nahrávku roku', 'Zlatý glóbus za nejlepší filmovou píseň', 'Cena Grammy za album roku', 'Brit Award for British Female Solo Artist', 'Cena Grammy za nejlepší ženský popový vokální výkon', 'Cena Grammy za album roku', 'Cena Grammy za nejlepší popové vokální album', 'Cena Grammy za nejlepší hudební video', 'Cena Grammy za píseň roku', 'Cena Grammy za nejlepší popový sólový výkon', 'Cena Grammy za nejlepší píseň k filmu, pro televizi či jiné vizuální médium', 'Cena Grammy za nejlepší popové vokální album', 'Cena Grammy za nahrávku roku', 'Cena Grammy za píseň roku', 'Cena Grammy za nejlepší popový sólový výkon', 'Premios Odeón', 'Time 100', 'Diamond Play Button']",,,4dpARuHxo51G3z768sgnrY,
Alicia Keys,Q121507,True,Alicia Keys,American singer,americká zpěvačka,člověk,"['neo soul', 'contemporary R&B', 'pop music', 'soul', 'hip hop']",+1981-01-25T00:00:00Z,,+1996-00-00T00:00:00Z,,,,žena,Hell’s Kitchen,Spojené státy americké,['Spojené státy americké'],"['Afroameričané', 'multirasový Američan']",['mezzosoprán'],"['klavír', 'violoncello', 'basová kytara', 'kytara', 'klávesový nástroj', 'hlas']","['Cena Grammy pro nejlepšího nového umělce', 'Grammy Award for Best Rap/Sung Collaboration', 'BBC 100 Women', 'Ambassador of Conscience Award', 'Cena Grammy pro nejlepší R&B Album', 'Time 100', 'Audie Award for Narration by the Author']",,,3DiDSECUqqY1AuBP8qtaIa,
Kelly Clarkson,Q483507,True,Kelly Clarkson,"American singer, songwriter, author, and television personality","americká zpěvačka, textařka a herečka",člověk,"['pop rock', 'pop music']",+1982-04-24T00:00:00Z,,+2002-00-00T00:00:00Z,,,,žena,Fort Worth,Spojené státy americké,['Spojené státy americké'],,['soprán'],['hlas'],"['Cena Grammy za nejlepší ženský popový vokální výkon', 'Cena Grammy za nejlepší popové vokální album', 'Cena Grammy za nejlepší popové vokální album', 'Umělec roku', 'American Music Award for Favorite Adult Contemporary Artist', 'Country Music Association Award for Musical Event of the Year', 'Daytime Emmy Award for Outstanding Entertainment Talk Show Host', 'Daytime Emmy Award for Outstanding Talk Show Entertainment', 'Daytime Emmy Award for Outstanding Talk Show Entertainment', 'MuchMusic Video Award for Peoples Choice: Favourite International Video', 'Teen Choice Award for Choice Music – Female Artist']",,,3BmGtnKgCSGYIUhmivXKWX,
David Koller,Q11774361,True,David Koller,Czech musician,český hudebník,člověk,['alternativní rock'],+1960-09-27T00:00:00Z,,+1980-00-00T00:00:00Z,,,,muž,Praha,Česko,['Česko'],,,"['kytara', 'hlas']","['Cena Anděl Sólový interpret roku', 'Cena Anděl Sólový interpret roku']",,,,
Aneta Langerová,Q455191,True,Aneta Langerová,Czech recording artist; singer,česká zpěvačka,člověk,['pop music'],+1986-11-29T00:00:00Z,,+2004-00-00T00:00:00Z,,,,žena,Benešov,Česko,['Česko'],,,['hlas'],"['Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku', 'Cena Anděl Sólová interpretka roku']",,,2kyu2lKKPgqLdf3TqAgYi9,
Eddie Stoilow,Q21481397,True,Eddie Stoilow,Czech musical group,česká hudební skupina,hudební skupina,['pop music'],,,,,,,,,,,,,,,,,,
Slza,Q21041050,True,Slza,Czech band,česká popová skupina,hudební skupina,['pop music'],,,+2014-00-00T00:00:00Z,,+2013-01-01T00:00:00Z,,,Praha,Česko,,,,,,,,,
Sia,Q181484,True,Sia,Australian singer and songwriter,australská zpěvačka a textařka,člověk,"['elektropop', 'indie pop']",+1975-12-18T00:00:00Z,,+1993-00-00T00:00:00Z,,,,žena,Adelaide,Austrálie,['Austrálie'],,['mezzosoprán'],['hlas'],,,['neheterosexualita'],5WUlDfRSoLAfcVSX1WnrxN,
Martin Garrix,Q14544318,True,Martin Garrix,Dutch DJ and record producer,"DJ, producent a hudebník",člověk,"['elektronická taneční hudba', 'electro house', 'Dutch house', 'deep house', 'progressive house', 'future bass', 'big room house']",+1996-05-14T00:00:00Z,,+2012-00-00T00:00:00Z,,,,muž,Amstelveen,Nizozemsko,['Nizozemské království'],,,"['klávesy', 'FL Studio', 'kytara', 'klavír']","['Popprijs', 'International Dance Music Awards']",,,60d24wfXkVzDSfLS6hyCjZ,
Paulie Garand,Q12043983,True,Paulie Garand,Czech music producer and rapper,český hudební producent a rapper,člověk,,+1987-10-17T00:00:00Z,,,,,,muž,Liberec,Česko,,,,['hlas'],,,,,
John Lennon,Q1203,True,John Lennon,English musician and member of the Beatles (1940–1980),"britský hudebník a skladatel, zakládající člen The Beatles",člověk,"['rock', 'blues rock', 'experimentální hudba', 'pop music', 'pop rock', 'art rock', 'psychedelický rock', 'rock and roll', 'beat', 'hard rock', 'experimentální rock']",+1940-10-09T00:00:00Z,+1980-12-08T00:00:00Z,+1956-00-00T00:00:00Z,+1980-00-00T00:00:00Z,,,muž,Liverpool Maternity Hospital,Spojené království,['Spojené království'],,['baryton'],"['kytara', 'klavír', 'harmonika', 'basová kytara', 'klávesový nástroj', 'hlas']","['člen Řádu britského impéria', 'Cena Grammy za celoživotní dílo', 'Rock and Roll Hall of Fame', 'Oscar za nejlepší hudbu', 'Hvězda na Hollywoodském chodníku slávy']",,['heterosexualita'],4x1nvY2FN8jxqAFA0DA02H,
Robin Schulz,Q16231940,True,Robin Schulz,German record producer and DJ,,člověk,['house music'],+1987-04-28T00:00:00Z,,+2007-00-00T00:00:00Z,,,,muž,Osnabrück,Německo,['Německo'],,,,,,,3t5xRXzsuZmMDkQzgOX35S,
Sean Paul,Q200577,True,Sean Paul,"Jamaican singer, actor and record producer",jamajský zpěvák,člověk,"['reggae', 'dancehall', 'hip-hop kultura']",+1973-01-09T00:00:00Z,,+1994-00-00T00:00:00Z,,,,muž,Kingston,Jamajka,['Jamajka'],,,['hlas'],['Grammy Award for Best Reggae Album'],,,3Isy6kedDrgPYoTS1dazA9,
Sam Smith,Q15123969,True,Sam Smith,English singer and songwriter,anglický zpěvák,člověk,"['soul', 'contemporary R&B', 'pop music', 'rhythm and blues']",+1992-05-19T00:00:00Z,,+2007-00-00T00:00:00Z,,,,nebinární,Londýn,Římská říše,['Spojené království'],,['Kontratenor'],['hlas'],"['Cena Grammy za nahrávku roku', 'Cena Grammy za píseň roku', 'Cena Grammy pro nejlepšího nového umělce', 'Cena Grammy za nejlepší popové vokální album', 'Oscar za nejlepší filmovou píseň', 'BET Award for Best New Artist', 'MOBO Awards', 'Out100', 'Out100']",,['homosexualita'],2wY79sveU1sp5g7SokKOiI,
Celeste Buckingham,Q1093318,True,Celeste Buckingham,Slovak singer and songwriter of Swiss-American origins,slovenská zpěvačka,člověk,"['rock', 'hip hop', 'pop music', 'soul', 'elektronická hudba', 'taneční hudba']",+1995-05-03T00:00:00Z,,+2011-00-00T00:00:00Z,,,,žena,Curych,Švýcarsko,['Slovensko'],,,"['klavír', 'hlas']",['MTV Europe Music Award pro nejlepší český/slovenský počin'],,,,
Michael Bublé,Q153694,True,Michael Bublé,Canadian singer,kanadský zpěvák a herec,člověk,"['jazz', 'big band', 'swing', 'tradiční pop']",+1975-09-09T00:00:00Z,,+1996-00-00T00:00:00Z,,,,muž,Burnaby,Kanada,"['Kanada', 'Itálie']",,['baryton'],"['klavír', 'hlas']","['Grammy Award', 'Kanadský chodník slávy', 'Juno Fan Choice', 'Juno Fan Choice', 'Juno Fan Choice', 'Hvězda na Hollywoodském chodníku slávy', 'důstojník Řádu Kanady']",,,1GxkXlMwML1oSg5eLPiAz3,
Kygo,Q16845512,True,Kygo,Norwegian musician and DJ (born 1991),norský hudebník,člověk,"['Tropical house', 'deep house', 'downtempo', 'progressive house', 'house music', 'elektronická taneční hudba']",+1991-09-11T00:00:00Z,,+2009-00-00T00:00:00Z,,,,muž,Singapur,Singapur,['Norsko'],,,"['klavír', 'klávesový nástroj', 'digital audio workstation', 'syntezátor']","['Årets spellemann', 'Spellemannprisen for hit of the year', 'the P3 award']",,,23fqKkggKUBHNkbKtXEls4,
Rudimental,Q50971,True,Rudimental,British electronic band,britská hudební skupina,hudební skupina,['drum and bass'],,,+2010-00-00T00:00:00Z,,+2010-00-00T00:00:00Z,,,Hackney,Spojené království,,,,,,,,4WN5naL3ofxrVBgFpguzKo,
Shawn Mendes,Q17198340,True,Shawn Mendes,Canadian singer,kanadský zpěvák,člověk,"['folk pop', 'pop music', 'pop rock']",+1998-08-08T00:00:00Z,,+2013-00-00T00:00:00Z,,,,muž,Pickering,Kanada,['Kanada'],,['tenore di grazia'],"['kytara', 'klavír', 'hlas']","['Kanadský chodník slávy', 'Juno Fan Choice', 'Juno Fan Choice', 'Time 100', 'Billboard 21 Under 21', 'Billboard 21 Under 21']",,,7n2wHs1TKAczGzO7Dd2rGr,
